loan_amnt,term,int_rate,installment,annual_inc,dti,fico_score,revol_bal,revol_util,total_acc,home_ownership,purpose,emp_length,loan_status
3568, 60 months,16.21,87.17,41216.61,17.49,691,44404,99.4,29,RENT,moving,< 1 year,1
3027, 36 months,8.26,95.22,24809.02,18.87,786,7951,35.7,37,RENT,medical,7 years,0
3695, 36 months,26.38,149.62,35788.63,19.94,782,19157,62.7,32,RENT,debt_consolidation,10+ years,1
6258, 60 months,15.72,151.25,35019.74,35.36,612,34006,88.8,28,RENT,home_improvement,4 years,0
23002, 36 months,22.03,878.81,35658.93,24.16,794,27524,63.8,3,OWN,major_purchase,7 years,0
34159, 36 months,13.76,1163.5,116111.0,27.75,591,740,56.6,20,OWN,major_purchase,8 years,1
14986, 36 months,5.92,455.36,47487.08,15.58,581,28459,56.9,29,OWN,other,7 years,0
13666, 60 months,7.76,275.53,85888.23,1.16,728,12324,49.6,22,RENT,car,5 years,0
39660, 60 months,16.66,978.42,54087.96,37.24,721,31099,80.8,16,RENT,home_improvement,9 years,0
4561, 36 months,21.02,171.88,114628.07,37.97,786,43803,5.0,35,OWN,car,7 years,0
27854, 36 months,13.03,938.91,90453.19,37.97,771,9727,88.5,4,OTHER,small_business,4 years,0
39952, 36 months,21.15,1508.27,34375.19,37.75,831,368,58.6,2,MORTGAGE,other,8 years,0
23662, 60 months,21.22,643.07,159050.6,32.61,783,43231,84.9,25,OWN,moving,5 years,0
9392, 36 months,21.34,355.49,37320.07,27.38,625,26533,1.0,28,RENT,home_improvement,1 year,1
31535, 36 months,16.58,1117.73,55270.82,33.78,840,37677,86.9,10,RENT,moving,6 years,0
14067, 60 months,26.08,421.84,,24.02,645,30408,12.0,25,MORTGAGE,moving,< 1 year,0
24599, 36 months,16.51,871.03,65710.82,5.37,729,37987,72.1,18,OWN,credit_card,9 years,0
36222, 36 months,15.63,1266.85,79039.89,,649,42058,41.7,29,RENT,small_business,< 1 year,1
12837, 36 months,9.99,414.15,31130.06,38.85,581,40372,68.1,5,RENT,debt_consolidation,7 years,0
15039, 60 months,12.42,337.73,75162.01,14.05,608,15038,62.8,30,RENT,moving,4 years,0
31818, 36 months,6.45,974.47,69472.57,34.71,835,42351,16.3,29,RENT,car,10+ years,0
20115, 36 months,19.75,744.99,49034.69,3.73,640,38974,51.5,38,MORTGAGE,major_purchase,9 years,0
11965, 36 months,11.09,392.23,43745.93,13.37,679,10223,27.7,30,RENT,medical,8 years,0
25538, 36 months,12.34,852.38,30186.17,14.04,723,49061,56.0,30,OTHER,medical,5 years,0
6056, 36 months,22.84,233.92,65395.63,2.06,771,26254,73.8,6,MORTGAGE,moving,< 1 year,0
33482, 36 months,12.86,1125.88,32982.03,,849,26722,8.1,12,OWN,small_business,5 years,0
9110, 60 months,10.95,197.85,56541.4,7.73,783,19208,51.6,3,OWN,major_purchase,< 1 year,1
14773, 36 months,9.3,471.84,46129.25,33.51,824,20554,61.8,5,OWN,credit_card,4 years,0
28266, 36 months,22.93,1093.14,22015.53,2.54,610,20165,29.5,11,MORTGAGE,home_improvement,2 years,0
18412, 36 months,8.42,580.54,27999.36,11.95,631,27940,95.3,9,RENT,home_improvement,9 years,0
34270, 36 months,15.71,1199.93,62496.48,0.41,822,19512,52.0,24,RENT,major_purchase,9 years,0
7910, 60 months,16.91,196.2,35789.47,27.83,842,9464,18.3,28,OWN,credit_card,8 years,0
26446, 36 months,20.97,995.95,35064.62,24.81,753,1979,10.8,24,RENT,debt_consolidation,< 1 year,0
1206, 36 months,19.75,44.67,30996.56,25.8,679,28273,54.2,35,RENT,other,5 years,0
22518, 36 months,23.74,880.37,31634.17,14.98,640,6612,37.5,36,MORTGAGE,moving,2 years,0
23361, 36 months,6.51,716.1,131347.26,8.33,767,26763,19.3,18,MORTGAGE,home_improvement,8 years,0
24419, 36 months,12.17,813.04,25035.16,28.81,586,6022,3.1,11,MORTGAGE,home_improvement,1 year,1
23403, 36 months,11.8,775.08,118627.3,32.44,768,38849,56.7,3,OWN,moving,10+ years,0
19141, 60 months,8.79,395.39,40197.55,5.54,662,9768,59.9,18,RENT,small_business,6 years,0
15820, 60 months,12.01,351.99,33115.19,19.47,703,28055,14.2,32,RENT,vacation,8 years,0
7374, 36 months,12.47,246.58,61715.73,9.95,736,7832,60.2,17,MORTGAGE,moving,2 years,0
2678, 60 months,17.24,66.9,50605.95,6.72,666,17639,95.2,25,MORTGAGE,moving,2 years,0
34827, 36 months,20.43,1301.94,43542.82,29.37,727,299,97.8,8,RENT,credit_card,2 years,0
17198, 36 months,14.07,588.37,,21.52,649,19426,88.8,20,MORTGAGE,major_purchase,< 1 year,0
10914, 36 months,21.69,415.06,50127.19,8.65,655,47264,80.7,17,MORTGAGE,credit_card,8 years,1
28890, 36 months,13.06,974.25,43072.56,12.4,693,30654,20.9,34,MORTGAGE,small_business,8 years,1
23299, 36 months,12.03,774.19,85940.0,38.67,582,46997,15.6,37,MORTGAGE,debt_consolidation,5 years,0
3693, 36 months,17.68,132.92,20574.63,33.95,813,17664,44.5,11,RENT,debt_consolidation,8 years,0
30467, 36 months,6.03,927.28,28316.53,35.2,746,13028,62.0,16,OWN,vacation,8 years,0
30723, 36 months,7.3,952.86,30548.5,18.4,678,25437,85.1,4,MORTGAGE,moving,< 1 year,0
4627, 36 months,14.9,160.17,25984.05,24.95,703,4589,23.2,3,MORTGAGE,major_purchase,2 years,0
26939, 60 months,26.72,818.09,51614.4,15.07,624,8133,48.0,36,OTHER,vacation,2 years,0
22834, 36 months,21.73,868.85,66386.68,3.11,685,39400,64.7,28,MORTGAGE,car,< 1 year,0
19047, 36 months,7.48,592.31,15100.48,16.04,713,15459,44.6,6,RENT,vacation,5 years,0
27105, 36 months,24.54,1071.11,36885.29,23.76,587,19168,45.4,16,RENT,vacation,3 years,0
11230, 36 months,21.98,428.76,40416.84,11.49,607,7398,22.5,37,MORTGAGE,car,7 years,0
16707, 60 months,19.25,435.69,41294.58,33.92,850,23092,98.7,34,RENT,home_improvement,5 years,0
22976, 36 months,23.96,900.93,22673.39,6.04,802,12377,47.5,2,RENT,medical,3 years,0
24776, 36 months,14.59,853.9,40619.66,14.69,587,9303,53.3,13,MORTGAGE,other,4 years,0
31080, 60 months,10.48,667.72,28376.77,5.0,713,25632,21.9,10,OWN,car,1 year,0
2306, 36 months,17.02,82.24,40109.71,16.19,608,42055,51.4,21,MORTGAGE,medical,9 years,0
7776, 36 months,17.85,280.54,17469.7,1.59,694,46635,25.5,31,RENT,vacation,< 1 year,0
28251, 36 months,17.61,1015.82,40274.12,10.9,613,35068,20.2,15,RENT,car,6 years,0
10474, 60 months,18.21,267.17,31843.22,16.03,586,24353,27.6,24,RENT,home_improvement,9 years,0
22959, 36 months,26.85,935.46,,19.13,619,15265,0.3,30,MORTGAGE,major_purchase,2 years,0
6530, 36 months,25.8,262.4,58716.47,21.75,641,36759,57.0,36,MORTGAGE,home_improvement,2 years,0
30320, 36 months,25.2,1208.73,47722.53,11.0,665,16897,38.7,28,RENT,vacation,5 years,0
4748, 36 months,23.53,185.11,78907.94,20.92,792,36999,89.9,28,RENT,debt_consolidation,2 years,0
32968, 36 months,26.73,1341.15,39479.63,20.36,695,43636,4.1,31,RENT,medical,6 years,0
33562, 36 months,7.72,1047.38,71063.63,12.65,644,39320,4.3,4,MORTGAGE,vacation,6 years,0
14545, 36 months,11.47,479.43,96277.73,33.21,749,8312,88.6,13,RENT,home_improvement,4 years,0
1663, 60 months,16.64,41.01,57771.79,,695,42461,12.7,32,RENT,medical,< 1 year,0
35766, 60 months,24.55,1040.36,48412.89,13.29,695,19231,0.2,38,RENT,medical,8 years,1
8994, 36 months,16.87,320.08,62856.98,37.89,800,33885,17.9,28,MORTGAGE,credit_card,1 year,0
29021, 60 months,22.33,806.98,59009.29,33.8,629,43951,82.4,25,RENT,major_purchase,3 years,0
31303, 36 months,8.63,990.05,,39.3,658,42583,80.3,12,RENT,moving,9 years,0
4304, 36 months,11.18,141.27,78927.08,27.69,599,40629,34.0,28,RENT,medical,9 years,0
18675, 36 months,21.96,712.82,79498.73,15.13,616,35006,66.8,10,RENT,credit_card,1 year,1
24938, 60 months,9.21,520.22,50332.97,11.23,838,39368,50.7,17,MORTGAGE,moving,< 1 year,0
24664, 60 months,13.41,566.37,60158.38,,672,14031,90.5,15,RENT,moving,< 1 year,0
2636, 36 months,11.46,86.87,59487.16,39.23,766,2433,5.6,31,OWN,credit_card,< 1 year,0
21080, 60 months,13.37,483.64,23755.57,25.07,780,25378,81.3,25,MORTGAGE,small_business,6 years,0
28728, 36 months,21.44,1088.83,93092.57,35.26,627,23393,17.1,14,MORTGAGE,credit_card,10+ years,0
27736, 60 months,13.78,642.21,18005.38,13.16,832,7166,39.2,34,RENT,moving,8 years,0
29673, 60 months,17.99,753.34,75155.31,16.28,625,37141,19.2,10,RENT,debt_consolidation,< 1 year,1
38505, 36 months,7.75,1202.17,57537.81,36.25,810,40914,,27,MORTGAGE,home_improvement,9 years,0
1854, 60 months,23.61,52.92,41333.44,30.27,674,1471,67.8,14,MORTGAGE,debt_consolidation,5 years,0
25548, 36 months,13.82,870.94,61989.12,39.26,797,9018,54.8,22,MORTGAGE,small_business,10+ years,0
39623, 36 months,20.09,1474.35,63015.85,30.99,619,29616,69.8,30,MORTGAGE,other,4 years,1
8392, 36 months,21.82,319.71,22366.51,17.94,782,30771,64.0,29,MORTGAGE,credit_card,2 years,0
22556, 36 months,10.22,730.15,114654.18,21.24,695,17812,77.6,25,RENT,medical,1 year,0
39559, 60 months,25.41,1170.64,51189.15,36.02,670,15029,23.9,14,RENT,medical,1 year,1
27309, 36 months,19.37,1006.16,196582.88,22.07,637,4306,42.9,21,MORTGAGE,car,1 year,0
22919, 36 months,15.15,796.18,78736.54,10.22,589,13177,15.2,8,MORTGAGE,medical,6 years,0
5931, 60 months,9.6,124.85,50495.44,17.42,835,3781,43.0,16,MORTGAGE,debt_consolidation,3 years,0
33970, 60 months,26.7,1031.2,32402.03,20.65,828,26601,70.2,26,MORTGAGE,home_improvement,6 years,1
13688, 36 months,22.49,526.23,45866.77,3.87,585,18701,69.1,36,OWN,debt_consolidation,9 years,0
26342, 60 months,10.18,562.03,53631.85,29.75,767,6688,70.9,14,MORTGAGE,credit_card,< 1 year,0
38157, 36 months,13.1,1287.5,118096.59,,814,17390,30.9,9,RENT,debt_consolidation,9 years,0
3327, 60 months,23.72,95.17,102333.86,16.2,762,34405,66.2,22,OWN,vacation,3 years,0
1197, 36 months,21.15,45.19,64272.88,32.18,702,25420,36.7,7,RENT,medical,8 years,0
24509, 36 months,22.73,945.29,141706.7,18.7,737,37879,94.4,11,MORTGAGE,vacation,6 years,0
35698, 36 months,15.43,1245.01,15000.0,33.68,592,23833,34.3,22,RENT,car,9 years,0
16087, 36 months,21.62,611.21,64710.09,,633,12685,60.3,15,MORTGAGE,moving,5 years,0
23671, 36 months,14.2,811.32,104129.56,38.31,622,32492,75.0,34,MORTGAGE,credit_card,6 years,1
26184, 36 months,10.25,847.96,68081.63,8.38,846,19671,90.6,26,MORTGAGE,debt_consolidation,1 year,0
28848, 36 months,19.74,1068.28,22033.41,1.53,688,35629,43.8,20,RENT,major_purchase,< 1 year,0
21666, 60 months,27.46,667.55,112833.2,34.9,745,49790,36.0,10,RENT,medical,,0
16708, 36 months,12.49,558.86,77405.19,30.09,685,8684,43.0,38,RENT,credit_card,8 years,0
27370, 36 months,15.87,960.49,60222.85,9.28,630,27574,32.4,37,OTHER,other,1 year,0
3811, 36 months,20.67,142.93,51689.75,39.39,783,5725,65.4,37,MORTGAGE,medical,1 year,0
7546, 36 months,17.68,271.6,162140.94,20.09,622,11849,93.3,16,OWN,vacation,2 years,0
35754, 60 months,24.48,1038.56,64004.62,38.04,664,30793,12.6,6,RENT,small_business,2 years,1
31206, 60 months,22.64,873.27,42397.65,20.2,796,31171,56.1,18,MORTGAGE,medical,2 years,0
12411, 36 months,6.81,382.14,30126.87,18.87,737,34253,89.8,31,RENT,car,3 years,0
3911, 36 months,27.96,161.69,77228.01,17.97,706,32651,10.0,8,RENT,car,10+ years,0
2734, 60 months,22.43,76.18,88586.97,13.4,770,6581,49.4,7,RENT,vacation,,0
19227, 36 months,24.94,763.85,50711.57,21.35,845,5221,86.5,16,RENT,moving,10+ years,0
9680, 60 months,20.15,257.27,35078.12,18.1,639,25545,90.0,11,RENT,credit_card,< 1 year,0
20360, 36 months,24.77,807.04,108883.52,1.47,641,16127,51.4,7,MORTGAGE,medical,3 years,0
19343, 60 months,8.03,392.48,28783.3,10.42,705,5032,2.5,14,RENT,credit_card,< 1 year,0
6759, 36 months,13.32,228.78,159798.23,8.52,751,39194,10.6,15,RENT,medical,3 years,0
24078, 36 months,25.22,960.14,31548.45,34.7,642,36777,58.7,2,RENT,vacation,1 year,1
36153, 60 months,10.04,768.86,22765.95,23.95,839,15095,12.4,34,MORTGAGE,other,6 years,0
12111, 36 months,7.26,375.39,24582.25,30.55,595,21707,14.9,20,RENT,major_purchase,5 years,0
38504, 36 months,23.23,1495.1,25189.12,38.27,758,21827,77.2,10,OWN,major_purchase,1 year,1
2802, 36 months,24.3,110.37,42533.29,25.76,680,30620,75.1,38,RENT,credit_card,1 year,0
9155, 36 months,9.16,291.81,37015.67,39.3,755,6307,84.3,13,MORTGAGE,home_improvement,< 1 year,0
9120, 36 months,24.72,361.26,90652.06,12.47,772,35896,10.6,6,MORTGAGE,moving,3 years,0
22918, 36 months,20.95,862.85,83220.16,7.45,840,37069,19.8,7,MORTGAGE,debt_consolidation,1 year,0
21445, 36 months,17.2,766.71,42868.53,16.13,754,6027,83.3,12,MORTGAGE,home_improvement,4 years,0
31306, 36 months,24.18,1231.18,300000.0,18.83,813,48428,72.1,39,MORTGAGE,major_purchase,,0
17646, 60 months,14.93,419.15,42529.08,35.81,795,45013,80.6,11,MORTGAGE,vacation,< 1 year,0
32065, 36 months,9.86,1032.54,,22.4,826,48148,99.0,16,MORTGAGE,debt_consolidation,4 years,0
26199, 36 months,11.91,869.06,22777.97,11.69,600,17330,86.4,29,MORTGAGE,small_business,4 years,0
17371, 36 months,16.87,618.2,46708.24,29.71,822,3440,,4,OWN,credit_card,4 years,0
12835, 36 months,17.45,460.48,58597.1,20.23,823,1545,31.1,17,MORTGAGE,small_business,1 year,0
3049, 36 months,23.63,119.03,24087.96,6.49,742,45612,57.0,18,RENT,moving,3 years,0
32616, 36 months,23.31,1267.83,36344.03,23.07,725,31480,63.9,37,MORTGAGE,small_business,4 years,0
39191, 36 months,18.58,1428.28,59647.44,36.46,646,32797,33.5,20,MORTGAGE,debt_consolidation,10+ years,0
21932, 36 months,23.07,849.78,35778.37,33.7,682,42431,77.1,5,MORTGAGE,major_purchase,10+ years,0
30855, 36 months,9.81,992.85,31555.54,23.47,704,30944,9.3,26,MORTGAGE,moving,5 years,0
8158, 36 months,6.63,250.52,78376.53,15.08,696,28336,77.9,28,OWN,credit_card,6 years,0
8400, 36 months,25.16,334.69,22713.89,3.48,830,36447,3.2,13,MORTGAGE,debt_consolidation,9 years,0
16151, 36 months,7.2,500.17,25520.74,18.79,805,14764,49.8,28,OTHER,vacation,10+ years,0
2154, 36 months,11.05,70.57,54525.71,30.08,767,21531,86.1,5,OTHER,small_business,2 years,1
5499, 36 months,21.14,207.57,81446.0,14.41,766,125,8.6,25,MORTGAGE,debt_consolidation,2 years,0
7295, 60 months,14.71,172.44,58883.39,9.42,655,37676,51.8,18,MORTGAGE,moving,9 years,0
13183, 36 months,25.22,525.69,42858.86,37.26,728,28432,15.9,27,OWN,vacation,1 year,0
30299, 36 months,12.2,1009.26,40813.44,32.86,774,6642,89.5,19,RENT,vacation,8 years,0
13874, 36 months,5.77,420.63,89883.09,25.53,623,41613,83.2,23,RENT,medical,< 1 year,0
33711, 36 months,12.26,1123.88,82075.99,5.47,749,32115,93.4,7,RENT,vacation,2 years,0
6539, 36 months,18.51,238.08,50509.14,5.8,673,24525,87.5,20,MORTGAGE,debt_consolidation,2 years,0
3557, 36 months,13.96,121.5,41499.17,4.13,803,46416,73.7,38,MORTGAGE,home_improvement,7 years,0
39360, 60 months,17.53,989.45,50069.3,24.65,617,41700,18.5,35,MORTGAGE,car,5 years,0
17482, 36 months,25.22,697.12,31687.63,4.62,849,40721,30.3,12,RENT,home_improvement,2 years,0
3200, 60 months,26.03,95.87,44796.92,33.71,814,24866,49.7,25,RENT,car,< 1 year,1
3961, 36 months,11.48,130.58,36544.21,39.72,690,11183,58.9,38,RENT,home_improvement,2 years,0
22357, 36 months,15.9,784.9,46142.66,14.65,747,31090,78.2,24,RENT,other,3 years,0
12969, 36 months,17.86,467.95,,18.15,633,10769,22.7,5,MORTGAGE,other,< 1 year,0
3869, 36 months,26.86,157.66,67128.98,28.47,706,10931,12.8,19,MORTGAGE,major_purchase,2 years,0
29643, 36 months,27.97,1225.66,80100.97,37.49,621,18077,48.3,31,OWN,moving,3 years,1
25736, 36 months,10.8,840.13,39033.3,35.76,620,38655,15.8,16,MORTGAGE,moving,6 years,1
39467, 36 months,21.86,1504.41,30117.82,2.3,629,25895,69.4,38,MORTGAGE,other,3 years,0
24328, 60 months,14.01,566.2,75129.84,6.76,738,2821,57.6,24,RENT,medical,< 1 year,0
26876, 60 months,5.68,515.6,54767.67,30.18,761,31736,74.1,13,MORTGAGE,other,,0
22295, 36 months,5.71,675.33,39338.48,27.56,760,14754,6.3,5,MORTGAGE,debt_consolidation,5 years,0
4987, 36 months,15.86,174.98,111896.67,5.33,745,48793,96.5,5,MORTGAGE,major_purchase,8 years,0
23399, 36 months,16.49,828.31,34925.74,20.08,811,16218,0.0,15,OWN,car,6 years,0
34986, 36 months,6.01,1064.5,15000.0,31.23,785,44189,32.5,9,RENT,small_business,3 years,0
21880, 36 months,20.96,823.88,,8.75,629,1395,68.0,24,MORTGAGE,other,< 1 year,0
5735, 36 months,12.12,190.81,129447.04,34.85,725,3961,4.5,2,RENT,other,6 years,0
5555, 36 months,18.1,201.11,40512.98,2.12,724,35382,8.3,12,MORTGAGE,debt_consolidation,8 years,0
20830, 36 months,12.27,694.54,35980.64,31.29,595,47821,7.7,28,MORTGAGE,moving,5 years,0
18429, 60 months,9.26,384.89,49809.54,24.63,664,23254,58.2,5,RENT,debt_consolidation,< 1 year,0
7893, 36 months,14.66,272.3,89916.6,12.61,795,17928,89.6,30,RENT,home_improvement,8 years,0
15373, 60 months,10.73,332.18,46642.15,28.84,631,37993,55.5,18,MORTGAGE,other,6 years,0
4436, 36 months,17.53,159.33,69899.13,31.29,615,12093,60.4,20,MORTGAGE,other,< 1 year,0
9754, 36 months,9.97,314.6,43758.46,37.36,686,14702,34.6,25,MORTGAGE,credit_card,3 years,1
11677, 36 months,16.94,415.97,70229.71,14.71,798,45457,1.9,33,OWN,vacation,4 years,0
6895, 36 months,9.04,219.39,54620.12,27.44,833,26356,2.2,32,MORTGAGE,car,,0
20738, 36 months,20.6,777.05,38607.62,24.1,647,7986,88.8,17,RENT,home_improvement,2 years,0
31746, 36 months,22.46,1219.96,57231.24,21.01,766,26726,10.3,33,RENT,credit_card,1 year,0
33352, 36 months,7.98,1044.82,35400.95,35.62,703,47428,100.0,35,OWN,debt_consolidation,3 years,1
6600, 36 months,16.03,232.13,21441.57,0.13,609,12660,16.4,36,MORTGAGE,moving,6 years,0
30124, 36 months,7.09,931.38,48439.33,11.28,764,7034,67.5,38,MORTGAGE,vacation,4 years,0
28643, 36 months,18.96,1049.36,22615.15,21.53,632,42405,94.9,17,RENT,major_purchase,6 years,0
